processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
GBMIN197-12	AM039878	2979393		AM039878	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	24842	Echinorhynchidae			24843	Acanthocephalus	24844	Acanthocephalus lucii					(Müller, 1776)																			Acanthocephalus lucii									Finland		Kyrkosjarvi											
GBMIN200-12	AM039881	2979396		AM039881	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	24842	Echinorhynchidae			24843	Acanthocephalus	24844	Acanthocephalus lucii					(Müller, 1776)																			Acanthocephalus lucii									Finland		Kyrkosjarvi											
GBMTG3024-16	NC_019808	6961397		NC_019808	Mined from GenBank, NCBI		BOLD:ADC5883	11	Acanthocephala	54	Archiacanthocephala	25301	Oligacanthorhynchida	25302	Oligacanthorhynchidae			25307	Macracanthorhynchus	666852	Macracanthorhynchus hirudinaceus																																														
GBSP0289-06	AF416998	472737			Mined from GenBank, NCBI		BOLD:AAX4801	11	Acanthocephala	54	Archiacanthocephala	176	Moniliformida	868	Moniliformidae			2780	Moniliformis	13112	Moniliformis moniliformis					Bremser, 1811																																									
GBSP0426-06	AM039836	475298			Mined from GenBank, NCBI		BOLD:AAJ2946	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	24842	Echinorhynchidae			24843	Acanthocephalus	24844	Acanthocephalus lucii					(Müller, 1776)																												United Kingdom	England	England											
GBSP0429-06	AM039865	475301			Mined from GenBank, NCBI		BOLD:AAJ2946	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	24842	Echinorhynchidae			24843	Acanthocephalus	24846	Acanthocephalus anguillae					Mueller, 1780																												Austria													
GBSP0552-06	AY423348	483013			Mined from GenBank, NCBI		BOLD:AAF1749	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												France		Dijon											
GBSP0553-06	AY423349	483014			Mined from GenBank, NCBI		BOLD:AAF1749	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												Hungary		Tapolca											
GBSP0638-06	AY690490	488746			Mined from GenBank, NCBI		BOLD:AAA3856	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Florida	Apalachicola River,FL 29.7820 N, 85.0466 W											
GBSP0643-06	AY690495	488751			Mined from GenBank, NCBI		BOLD:ACE8914	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Florida	Suwannee River,FL 29.7011 N, 82.9386 W											
GBSP0647-06	AY690499	488755			Mined from GenBank, NCBI		BOLD:ACE8914	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Florida	Suwannee River,FL 29.7011 N, 82.9386 W											
GBSP0648-06	AY690500	488756			Mined from GenBank, NCBI		BOLD:AAA3859	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Florida	Suwannee River,FL 29.7011 N, 82.9386 W											
GBSP0651-06	AY690503	488759			Mined from GenBank, NCBI		BOLD:AAA3857	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Florida	Withlacoochee River,FL 29.0466 N, 82.4614 W											
GBSP0652-06	AY690504	488760			Mined from GenBank, NCBI		BOLD:AAA3857	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Florida	Withlacoochee River,FL 29.0466 N, 82.4614 W											
GBSP0656-06	AY690508	488764			Mined from GenBank, NCBI		BOLD:AAA3857	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Florida	Withlacoochee River,FL 29.0466 N, 82.4614 W											
GBSP0659-06	AY690511	488767			Mined from GenBank, NCBI		BOLD:AAA3860	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Georgia	Altamaha River,GA 31.4279 N, 81.6056 W											
GBSP0660-06	AY690512	488768			Mined from GenBank, NCBI		BOLD:AAA3860	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Georgia	Altamaha River,GA 31.4279 N, 81.6056 W											
GBSP0664-06	AY690516	488772			Mined from GenBank, NCBI		BOLD:AAA3860	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																																									
GBSP0665-06	AY690517	488773			Mined from GenBank, NCBI		BOLD:AAA3860	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Florida	St. Mary`s River,FL/GA 30.7582 N, 81.7411 W											
GBSP0669-06	AY690521	488777			Mined from GenBank, NCBI		BOLD:ACF0160	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Florida	Apalachicola River,FL 29.7820 N, 85.0466 W											
GBSP0673-06	AY690525	488781			Mined from GenBank, NCBI		BOLD:ABY6767	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Florida	Suwannee River,FL 29.7011 N, 82.9386 W											
GBSP0676-06	AY690528	488784			Mined from GenBank, NCBI		BOLD:ABY6767	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Florida	Suwannee River,FL 29.7011 N, 82.9386 W											
GBSP0678-06	AY690530	488786			Mined from GenBank, NCBI		BOLD:AAA3861	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Florida	Ochlockonee River,FL 30.3833 N, 84.6559 W											
GBSP0681-06	AY690533	488789			Mined from GenBank, NCBI		BOLD:AAA3863	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Louisiana	Henderson Swamp,LA 30.3069 N, 91.7394 W											
GBSP0689-06	AY690541	488797			Mined from GenBank, NCBI		BOLD:ABZ6993	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Minnesota	Pickerel Lake,MN 46.8052 N, 95.8475 W											
GBSP0698-06	AY690550	488806			Mined from GenBank, NCBI		BOLD:AAA3864	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																				50.1	-95.94							Canada	Manitoba	Manitoba,Whitemouth Falls											
GBSP0705-06	AY690557	488813			Mined from GenBank, NCBI		BOLD:AAA3855	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Wisconsin	Connor Lake,WI 45.7595 N, 90.7265 W											
GBSP0706-06	AY690558	488814			Mined from GenBank, NCBI		BOLD:AAA3855	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Wisconsin	Connor Lake,WI 45.7595 N, 90.7265 W											
GBSP0709-06	AY690561	488817			Mined from GenBank, NCBI		BOLD:AAA3855	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Nebraska	Swan Lake,NE 42.5392 N, 99.0011 W											
GBSP0710-06	AY690562	488818			Mined from GenBank, NCBI		BOLD:AAA3855	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Wisconsin	Oconto River,WI 44.8583 N, 88.0583 W											
GBSP0714-06	AY690566	488822			Mined from GenBank, NCBI		BOLD:AAA3865	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Florida	Escambia River,FL 30.6667 N, 87.2667 W											
GBSP0718-06	AY690570	488826			Mined from GenBank, NCBI		BOLD:AAA3865	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Louisiana	Pearl River,LA 30.2562 N, 89.6500 W											
GBSP0721-06	AY690573	488829			Mined from GenBank, NCBI		BOLD:AAA3865	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Louisiana	Pearl River,LA 30.2562 N, 89.6500 W											
GBSP0722-06	AY690574	488830			Mined from GenBank, NCBI		BOLD:AAA3865	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Louisiana	Pearl River,LA 30.2562 N, 89.6500 W											
GBSP0725-06	AY690577	488833			Mined from GenBank, NCBI		BOLD:AAA3866	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Florida	Withlacoochee River,FL 29.0466 N, 82.4614 W											
GBSP0729-06	AY690581	488837			Mined from GenBank, NCBI		BOLD:AAA3866	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	26335	Rhadinorhynchidae			26336	Leptorhynchoides	26337	Leptorhynchoides thecatus					Linton, 1891																												United States	Florida	Withlacoochee River,FL 29.0466 N, 82.4614 W											
GBSP1288-06	DQ320487	502073			Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	79681	Illiosentidae			79682	Dollfusentis	79683	Dollfusentis chandleri					Golvan, 1969																																									
GBSP1289-06	DQ320488	502074			Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	79681	Illiosentidae			79682	Dollfusentis	79683	Dollfusentis chandleri					Golvan, 1969																																									
GBSP1292-06	DQ320492	502077			Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	79681	Illiosentidae			79682	Dollfusentis	79683	Dollfusentis chandleri					Golvan, 1969																																									
GBSP16809-19	LC465314	10887970		LC465314	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			852137	Corynosoma	939062	Corynosoma villosum																																	Japan													
GBSP16887-19	LC465392	10888048		LC465392	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			852137	Corynosoma	939059	Corynosoma semerme																																	Japan													
GBSP3334-11	AM039832	2353324	AM039832	AM039832	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	24842	Echinorhynchidae			24843	Acanthocephalus	24844	Acanthocephalus lucii					(Müller, 1776)																												Finland		Kuivasjarvi											
GBSP3337-11	AM039835	2353327	AM039835	AM039835	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	24842	Echinorhynchidae			24843	Acanthocephalus	24844	Acanthocephalus lucii					(Müller, 1776)																												Germany													
GBSP3344-11	AM039845	2353334	AM039845	AM039845	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	24842	Echinorhynchidae			24843	Acanthocephalus	24844	Acanthocephalus lucii					(Müller, 1776)																												Finland		Posiojarvi											
GBSP3345-11	AM039846	2353335	AM039846	AM039846	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	24842	Echinorhynchidae			24843	Acanthocephalus	24844	Acanthocephalus lucii					(Müller, 1776)																												Finland		Posiojarvi											
GBSP3348-11	AM039849	2353338	AM039849	AM039849	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	24842	Echinorhynchidae			24843	Acanthocephalus	24844	Acanthocephalus lucii					(Müller, 1776)																												Finland		Posiojarvi											
GBSP3349-11	AM039850	2353339	AM039850	AM039850	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	24842	Echinorhynchidae			24843	Acanthocephalus	24844	Acanthocephalus lucii					(Müller, 1776)																												Finland		Posiojarvi											
GBSP3352-11	AM039853	2353342	AM039853	AM039853	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	24842	Echinorhynchidae			24843	Acanthocephalus	24844	Acanthocephalus lucii					(Müller, 1776)																												Finland		Ukonvesi											
GBSP3356-11	AM039857	2353346	AM039857	AM039857	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	24842	Echinorhynchidae			24843	Acanthocephalus	24844	Acanthocephalus lucii					(Müller, 1776)																												Finland		Niemisjarvi											
GBSP3357-11	AM039858	2353347	AM039858	AM039858	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	24842	Echinorhynchidae			24843	Acanthocephalus	24844	Acanthocephalus lucii					(Müller, 1776)																												Finland		Niemisjarvi											
GBSP3360-11	AM039861	2353350	AM039861	AM039861	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	24842	Echinorhynchidae			24843	Acanthocephalus	24844	Acanthocephalus lucii					(Müller, 1776)																												Finland		Niemisjarvi											
GBSP3365-11	AM039869	2353355	AM039869	AM039869	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	24842	Echinorhynchidae			24843	Acanthocephalus	24844	Acanthocephalus lucii					(Müller, 1776)																												Finland		Ukonvesi											
GBSP3366-11	AM039870	2353356	AM039870	AM039870	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	24842	Echinorhynchidae			24843	Acanthocephalus	24844	Acanthocephalus lucii					(Müller, 1776)																												Finland		Ukonvesi											
GBSP3369-11	AM039873	2353359	AM039873	AM039873	Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	24842	Echinorhynchidae			24843	Acanthocephalus	24844	Acanthocephalus lucii					(Müller, 1776)																												Finland		Ukonvesi											
PACDE036-18	A-Haa-02	8539958		A-Haa-02	University of Duisburg-Essen		BOLD:ADL1077	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			535656	Polymorphus						molecular						Andre Wlecklik													in Gammarus pulex	Cystacanth	51.5626	6.95572							Germany		Gladbeck	Rhine (Emscher)	Haarbach									
USHEM098-10	10BBHEM-0098	1567221	10BBHEM-0098	L#2010AR-015	Centre for Biodiversity Genomics		BOLD:AAG8863	20	Arthropoda	82	Insecta	133	Hemiptera	87528	Coreidae	87529	Coreinae	376206	Acanthocephala					Angela Telfer	BIN Taxonomy Match						Biobus 2010							A		S					Freehand sampling|hot, sunny	35.0761	-92.5464			88				United States	Arkansas		Toadsuck East Campground	cottonwood, field, Arkansas River	910846	http://www.boldsystems.org/pics/USHEM/IMG_9561+1287518902.JPG	Lateral		CBG Photography Group	2010	CreativeCommons - Attribution Non-Commercial Share-Alike	Centre for Biodiversity Genomics	Spencer Walker
ACANT001-17	Fish29-2	7814288		Fish29-2	Naturhistorisches Museum Wien		BOLD:AAF1747	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30531	Pomphorhynchus tereticollis			Susanne Reier	morphology	Rudolphi, 1809		vouchered:registered collection			S. Reier							immature		S	River		host: Alburnus alburnus											Austria	Styria	Mur	near Obervogau and Gralla	bypass channel									
ACANT003-18	DK1-3	9495072		DK1-3	Naturhistorisches Museum Wien		BOLD:ADQ3537	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	892732	Pomphorhynchus bosniacus			Susanne Reier	morphology			vouchered:registered collection			S. Reier								M	S			host: Leuciscus idus											Austria	Vienna	Danube	Freudenau										
ACANT007-18	FA9-6	9495076		FA9-6	Naturhistorisches Museum Wien		BOLD:ADQ3537	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	892732	Pomphorhynchus bosniacus			Susanne Reier	morphology			vouchered:registered collection			S. Reier									S			host: Barbus barbus											Austria	Vienna	Danube	Freudenau										
ACANT016-18	FA9-DA12FK-1	9495085		FA9-DA12FK-1	Naturhistorisches Museum Wien		BOLD:ADQ3537	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	892732	Pomphorhynchus bosniacus			Susanne Reier	morphology			vouchered:registered collection			S. Reier									S			host: Barbus barbus											Austria	Vienna	Danube	Freudenau										
ACANT018-18	FA9-MA02G-1	9495087		FA9-MA02G-1	Naturhistorisches Museum Wien		BOLD:ADQ3537	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	892732	Pomphorhynchus bosniacus			Susanne Reier	morphology			vouchered:registered collection			S. Reier									S			host: Barbus barbus											Austria	Vienna	Danube	Freudenau										
GBMHH3638-14	JX202541	5169347		JX202541	Mined from GenBank, NCBI		BOLD:ACQ6663	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			657218	Pseudocorynosoma	657219	Pseudocorynosoma constrictum																	Adult					ex: Anas crecca																								
GBMIN135092-18	LN994883	8736292		LN994883	Mined from GenBank, NCBI		BOLD:ACQ5649	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												Slovenia		Sava	Dolsko Kamnica creek										
GBMIN135105-18	LN994853	8736305		LN994853	Mined from GenBank, NCBI		BOLD:AAF1749	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												France		Western-Europe	Lez	Les Matelles									
GBMIN135106-18	LN994887	8736306		LN994887	Mined from GenBank, NCBI		BOLD:ACQ5649	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												Bulgaria		Struma	Kjustendil										
GBMIN135109-18	LN994873	8736309		LN994873	Mined from GenBank, NCBI		BOLD:ACQ5649	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												Serbia		Krupaja	Krepoljin										
GBMIN135111-18	LN994844	8736311		LN994844	Mined from GenBank, NCBI		BOLD:AAF1749	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												France		Western-Europe	Ouche	Dijon									
GBMIN135119-18	LN994975	8736319		LN994975	Mined from GenBank, NCBI		BOLD:AAF1747	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30531	Pomphorhynchus tereticollis					Rudolphi, 1809																												Germany		Baltic sea	Stralsund										
GBMIN135135-18	KX646762	8736335		KX646762	Mined from GenBank, NCBI		BOLD:ACQ4654	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	653453	Profilicollis altmani																																	Chile	Biobio	Colcura											
GBMIN135137-18	KX646785	8736337		KX646785	Mined from GenBank, NCBI		BOLD:ACQ4654	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	653453	Profilicollis altmani																																	Chile	Los Rios	Calfuco											
GBMIN135141-18	KX646774	8736341		KX646774	Mined from GenBank, NCBI		BOLD:ACQ4654	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	653453	Profilicollis altmani																																	Chile	Los Rios	Chaihuin											
GBMIN135144-18	KX646771	8736344		KX646771	Mined from GenBank, NCBI		BOLD:ACQ4654	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	653453	Profilicollis altmani																																	Chile	Coquimbo	Panul											
GBMIN135162-18	KX646789	8736362		KX646789	Mined from GenBank, NCBI		BOLD:ACQ4654	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	653453	Profilicollis altmani																																	Chile	Los Rios	Curinanco											
GBMIN135168-18	KY292516	8736368		KY292516	Mined from GenBank, NCBI		BOLD:ACH8296	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	852140	Profilicollis chasmagnathi																																	Uruguay	Maldonado	Jose Ignacio lake											
GBMIN135172-18	KY292523	8736372		KY292523	Mined from GenBank, NCBI		BOLD:ACH8296	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	852140	Profilicollis chasmagnathi																																	Uruguay	Canelones	Solis Grande stream											
GBMIN135174-18	KY292517	8736374		KY292517	Mined from GenBank, NCBI		BOLD:ACH8296	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	852140	Profilicollis chasmagnathi																																	Uruguay	Maldonado	Jose Ignacio lake											
GBMIN135177-18	KY292511	8736377		KY292511	Mined from GenBank, NCBI		BOLD:ACH8296	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			653452	Profilicollis	852140	Profilicollis chasmagnathi																																	Argentina	Chubut	Punta Cuevas											
GBMIN135181-18	KX688136	8736381		KX688136	Mined from GenBank, NCBI		BOLD:ACH8304	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			657218	Pseudocorynosoma	852141	Pseudocorynosoma sp. MGV-2016																																														
GBMNA12666-19	JN710452	9629664		JN710452	Mined from GenBank, NCBI		BOLD:ADC8401	11	Acanthocephala	54	Archiacanthocephala	25301	Oligacanthorhynchida	25302	Oligacanthorhynchidae			25303	Oncicola	462407	Oncicola luehei					Travassos, 1917																																									
GBMNA12667-19	JQ943583	9629665		JQ943583	Mined from GenBank, NCBI		BOLD:ADR2279	11	Acanthocephala	174812	Eoacanthocephala	532904	Gyracanthocephala	532905	Quadrigyridae																																																				
GBMNA12669-19	FR856883	9629667		FR856883	Mined from GenBank, NCBI		BOLD:ACH7230	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	24842	Echinorhynchidae	736721	Echinorhynchinae	714434	Echinorhynchus	715591	Echinorhynchus truttae																																														
GBSP1285-06	DQ320484	502070			Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	79681	Illiosentidae			79682	Dollfusentis	79683	Dollfusentis chandleri					Golvan, 1969																																									
GBSP13096-19	AY390503	10193384			Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												United Kingdom													
GBSP13097-19	AY390504	10193385			Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												Ireland													
GBSP13098-19	AY390505	10193386			Mined from GenBank, NCBI			11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			30530	Pomphorhynchus	30532	Pomphorhynchus laevis					Zoega, 1776																												Ireland													
GBSP5082-13	KC549468	3417095		KC549468	Mined from GenBank, NCBI		BOLD:ACG5913	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae			535656	Polymorphus	535657	Polymorphus brevis																	C						Isolate:383	IsolationSource:Notropis grandis	19.6833	-101.883							Mexico		Lago Zacapu, Michoacan											
GBSP7087-13	JF694276	3587086	JF694276	JF694276	Mined from GenBank, NCBI		BOLD:ACI2114	11	Acanthocephala	24840	Palaeacanthocephala	24841	Echinorhynchida	30529	Pomphorhynchidae			671328	Tenuiproboscis																																																
GBSP7506-13	JQ040303	3594961	JQ040303	JQ040303	Mined from GenBank, NCBI		BOLD:ACH8299	11	Acanthocephala	24840	Palaeacanthocephala	531776	Polymorphida	532796	Polymorphidae																																							Spain													
GBSP7832-13	KC261351	3619010	KC261351	KC261351	Mined from GenBank, NCBI		BOLD:ACI1705	11	Acanthocephala	54	Archiacanthocephala	175	Gigantorhynchida	1036	Gigantorhynchidae			3196	Mediorhynchus												Ivan G. Horak																							South Africa		Kruger National Park											
